INFO - xla_bridge.py - 2022-05-15 17:15:40,106 - Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
INFO - xla_bridge.py - 2022-05-15 17:15:40,139 - Unable to initialize backend 'tpu': INVALID_ARGUMENT: TpuPlatform is not available.
INFO - dataset_info.py - 2022-05-15 17:15:40,146 - Load dataset info from /home/nasseraa/tensorflow_datasets/cifar10/3.0.2
INFO - dataset_builder.py - 2022-05-15 17:15:43,196 - Reusing dataset cifar10 (/home/nasseraa/tensorflow_datasets/cifar10/3.0.2)
INFO - dataset_builder.py - 2022-05-15 17:15:43,196 - Constructing tf.data.Dataset for split train, from /home/nasseraa/tensorflow_datasets/cifar10/3.0.2
INFO - dataset_builder.py - 2022-05-15 17:15:43,427 - Reusing dataset cifar10 (/home/nasseraa/tensorflow_datasets/cifar10/3.0.2)
INFO - dataset_builder.py - 2022-05-15 17:15:43,427 - Constructing tf.data.Dataset for split test, from /home/nasseraa/tensorflow_datasets/cifar10/3.0.2
INFO - run_lib.py - 2022-05-15 17:15:43,800 - Starting training loop at step 1200001.
INFO - run_lib.py - 2022-05-15 17:16:20,308 - step: 1200050, training_loss: 8.03283e+01
INFO - run_lib.py - 2022-05-15 17:16:50,549 - step: 1200100, training_loss: 9.21361e+01
INFO - run_lib.py - 2022-05-15 17:17:20,816 - step: 1200150, training_loss: 7.99821e+01
INFO - run_lib.py - 2022-05-15 17:17:51,050 - step: 1200200, training_loss: 9.18526e+01
INFO - run_lib.py - 2022-05-15 17:18:21,441 - step: 1200250, training_loss: 1.01165e+02
INFO - run_lib.py - 2022-05-15 17:18:51,694 - step: 1200300, training_loss: 9.65692e+01
INFO - run_lib.py - 2022-05-15 17:19:21,943 - step: 1200350, training_loss: 7.80609e+01
INFO - run_lib.py - 2022-05-15 17:19:52,219 - step: 1200400, training_loss: 1.05858e+02
INFO - run_lib.py - 2022-05-15 17:20:22,437 - step: 1200450, training_loss: 7.03714e+01
INFO - run_lib.py - 2022-05-15 17:20:52,742 - step: 1200500, training_loss: 6.93548e+01
INFO - run_lib.py - 2022-05-15 17:21:23,034 - step: 1200550, training_loss: 8.67890e+01
INFO - run_lib.py - 2022-05-15 17:21:53,329 - step: 1200600, training_loss: 8.64116e+01
INFO - run_lib.py - 2022-05-15 17:22:23,675 - step: 1200650, training_loss: 8.83270e+01
INFO - run_lib.py - 2022-05-15 17:22:53,957 - step: 1200700, training_loss: 9.53959e+01
INFO - run_lib.py - 2022-05-15 17:23:24,319 - step: 1200750, training_loss: 9.41853e+01
INFO - run_lib.py - 2022-05-15 17:23:54,618 - step: 1200800, training_loss: 7.21765e+01
INFO - run_lib.py - 2022-05-15 17:24:24,934 - step: 1200850, training_loss: 7.87580e+01
INFO - run_lib.py - 2022-05-15 17:24:55,258 - step: 1200900, training_loss: 8.79334e+01
INFO - run_lib.py - 2022-05-15 17:25:25,539 - step: 1200950, training_loss: 1.01894e+02
INFO - run_lib.py - 2022-05-15 17:25:55,863 - step: 1201000, training_loss: 9.05434e+01
INFO - run_lib.py - 2022-05-15 17:26:09,404 - step: 1201000, eval_loss: 8.87644e+01
INFO - run_lib.py - 2022-05-15 17:32:04,478 - step: 1201050, training_loss: 8.59764e+01
INFO - run_lib.py - 2022-05-15 17:32:34,833 - step: 1201100, training_loss: 1.02836e+02
