INFO - run_lib.py - 2022-04-25 08:19:18,281 - Starting training loop at step 2400007.
INFO - run_lib.py - 2022-04-25 08:20:08,295 - step: 2400100, training_loss: 3.53080e+04
INFO - run_lib.py - 2022-04-25 08:20:59,077 - step: 2400200, training_loss: 1.15522e+04
INFO - run_lib.py - 2022-04-25 08:21:50,166 - step: 2400300, training_loss: 2.91584e+04
INFO - run_lib.py - 2022-04-25 08:22:41,114 - step: 2400400, training_loss: 1.75792e+04
INFO - run_lib.py - 2022-04-25 08:23:31,193 - step: 2400500, training_loss: 9.24021e+03
INFO - run_lib.py - 2022-04-25 08:24:43,385 - step: 2400600, training_loss: 4.29934e+02
INFO - run_lib.py - 2022-04-25 08:25:34,703 - step: 2400700, training_loss: 7.68318e+03
INFO - run_lib.py - 2022-04-25 08:26:25,109 - step: 2400800, training_loss: 1.06404e+04
INFO - run_lib.py - 2022-04-25 08:27:16,083 - step: 2400900, training_loss: 1.12196e+03
INFO - run_lib.py - 2022-04-25 08:28:07,110 - step: 2401000, training_loss: 6.82964e+03
INFO - run_lib.py - 2022-04-25 08:28:19,719 - step: 2401000, eval_loss: 2.94325e+04
INFO - run_lib.py - 2022-04-25 08:29:21,098 - step: 2401100, training_loss: 4.58536e+03
INFO - run_lib.py - 2022-04-25 08:30:12,104 - step: 2401200, training_loss: 1.94850e+03
INFO - run_lib.py - 2022-04-25 08:31:03,307 - step: 2401300, training_loss: 1.19876e+04
INFO - run_lib.py - 2022-04-25 08:31:54,227 - step: 2401400, training_loss: 2.71648e+03
INFO - run_lib.py - 2022-04-25 08:32:45,612 - step: 2401500, training_loss: 4.01971e+03
INFO - run_lib.py - 2022-04-25 08:33:57,565 - step: 2401600, training_loss: 7.91373e+03
INFO - run_lib.py - 2022-04-25 08:34:48,304 - step: 2401700, training_loss: 4.61736e+02
INFO - run_lib.py - 2022-04-25 08:35:39,536 - step: 2401800, training_loss: 1.49442e+04
INFO - run_lib.py - 2022-04-25 08:36:30,812 - step: 2401900, training_loss: 1.44356e+04
INFO - run_lib.py - 2022-04-25 08:37:21,581 - step: 2402000, training_loss: 1.52300e+03
INFO - run_lib.py - 2022-04-25 08:37:32,464 - step: 2402000, eval_loss: 1.52975e+03
INFO - run_lib.py - 2022-04-25 08:38:33,994 - step: 2402100, training_loss: 7.47629e+02
INFO - run_lib.py - 2022-04-25 08:39:25,100 - step: 2402200, training_loss: 1.90080e+04
INFO - run_lib.py - 2022-04-25 08:40:15,403 - step: 2402300, training_loss: 2.63663e+03
INFO - run_lib.py - 2022-04-25 08:41:06,722 - step: 2402400, training_loss: 3.59148e+03
INFO - run_lib.py - 2022-04-25 08:41:57,288 - step: 2402500, training_loss: 1.94830e+04
INFO - run_lib.py - 2022-04-25 08:43:09,672 - step: 2402600, training_loss: 2.03741e+03
INFO - run_lib.py - 2022-04-25 08:44:00,976 - step: 2402700, training_loss: 1.04823e+04
INFO - run_lib.py - 2022-04-25 08:44:52,424 - step: 2402800, training_loss: 1.00700e+03
INFO - run_lib.py - 2022-04-25 08:45:43,975 - step: 2402900, training_loss: 9.44831e+03
INFO - run_lib.py - 2022-04-25 08:46:35,292 - step: 2403000, training_loss: 8.41296e+01
INFO - run_lib.py - 2022-04-25 08:46:46,157 - step: 2403000, eval_loss: 3.72957e+03
INFO - run_lib.py - 2022-04-25 08:47:46,547 - step: 2403100, training_loss: 1.00907e+04
INFO - run_lib.py - 2022-04-25 08:48:37,776 - step: 2403200, training_loss: 1.73098e+03
